,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
0,23726706,0.95,False,IJburg - Zeeburgereiland,52.34,4.98,Private room,2,1,1,6,88.0,2,14,True,0,3,4.99,True,44.0,176.0,0.05,0.11,0.16,4.99,,
1,35815036,1.0,True,Noord-Oost,52.44,4.957,Entire home/apt,2,1,1,5,105.0,3,100,True,4,6,4.96,False,52.5,315.0,0.05,0.12,0.16,4.99,0.6657534246575343,528.8767123287671
2,31553121,1.0,False,Noord-West,52.44,4.918,Entire home/apt,4,2,3,3,152.0,2,60,True,0,1,4.74,False,38.0,304.0,0.07,0.11,0.22,4.99,,
3,34745823,0.94,False,Gaasperdam - Driemond,52.28,5.01,Entire home/apt,2,1,2,8,87.0,2,1125,True,5,0,4.87,False,43.5,174.0,0.06,0.1,0.15,4.99,,
4,44586947,0.88,True,Gaasperdam - Driemond,52.3,5.03,Private room,4,1,3,4,160.0,2,31,True,9,3,5.0,False,40.0,320.0,0.09,0.22,0.2,4.99,,
5,15801253,0.86,False,Watergraafsmeer,52.34,4.965,Private room,3,1,3,1,90.0,2,1125,True,3,1,4.77,False,30.0,180.0,0.06,0.14,0.16,4.99,,
6,19572024,1.0,False,Watergraafsmeer,52.3,4.91,Entire home/apt,6,3,6,14,279.0,3,300,True,6,3,4.69,False,46.5,837.0,0.09,0.16,0.14,4.99,0.8164383561643835,1496.5479452054794
7,18801518,0.62,False,Watergraafsmeer,52.34,4.965,Private room,4,1,3,10,140.0,2,1125,True,0,0,4.66,False,35.0,280.0,0.05,0.17,0.17,4.99,,
8,2973384,0.38,False,Watergraafsmeer,52.3,4.906,Entire home/apt,5,3,3,7,185.0,6,21,True,0,0,4.83,False,37.0,1110.0,0.06,0.12,0.18,4.99,0.03561643835616438,941.3013698630137
9,34985473,1.0,True,Noord-Oost,52.44,5.043,Entire home/apt,5,3,4,4,135.0,6,1125,True,7,0,4.43,False,27.0,810.0,0.08,0.13,0.17,4.99,0.16164383561643836,748.5616438356165
10,620821365404674198,1.0,False,Bijlmer-Centrum,52.34,4.938,Private room,2,1,2,2,120.0,1,365,True,17,3,4.33,True,60.0,120.0,0.07,0.14,0.15,4.99,,
11,44174770,1.0,True,Watergraafsmeer,52.34,4.953,Private room,1,1,1,8,59.0,30,1125,True,0,0,4.88,True,59.0,1770.0,0.05,0.12,0.15,2.99,0.6712328767123288,296.5068493150685
12,50888392,1.0,True,Gaasperdam - Driemond,52.3,5.04,Entire home/apt,4,2,2,13,150.0,2,1125,True,0,0,4.94,True,37.5,300.0,0.08,0.2,0.23,4.99,,
13,31742663,0.94,False,Gaasperdam - Driemond,52.28,5.01,Entire home/apt,2,1,2,6,89.0,2,1125,True,4,3,4.8,False,44.5,178.0,0.06,0.14,0.15,4.99,,
14,48864190,0.97,False,IJburg - Zeeburgereiland,52.34,5.0,Entire home/apt,16,8,12,14,350.0,1,1125,True,19,0,4.82,True,21.88,350.0,-0.01,0.23,0.3,4.99,,
15,50065811,0.92,False,Bijlmer-Centrum,52.28,4.97,Entire home/apt,6,3,4,14,275.0,5,42,True,18,1,4.14,False,45.84,1375.0,0.02,0.15,0.28,4.99,0.4602739726027397,1375.0
16,51340421,0.64,False,Watergraafsmeer,52.34,4.938,Entire home/apt,4,2,2,11,275.0,1,1125,True,10,3,4.73,False,68.75,275.0,0.11,0.15,0.23,4.99,0.8684931506849315,1372.2602739726028
17,18082645,0.29,False,Watergraafsmeer,52.34,4.957,Entire home/apt,6,3,2,6,150.0,4,1125,True,1,1,4.88,False,25.0,600.0,0.09,0.13,0.18,4.99,0.0684931506849315,895.8904109589041
